일시,광진구,동대문구,성동구,중랑구
20220101,2.365,1.883,1.969,1.271
20220102,2.209,1.886,1.823,1.316
20220103,2.426,2.076,2.112,1.359
20220104,2.664,2.2,2.312,1.424
20220105,2.745,2.106,2.292,1.425
20220106,2.453,1.876,2.114,1.252
20220107,1.963,1.586,1.746,1.022
20220108,1.971,1.76,1.637,1.151
20220109,2.015,1.818,1.644,1.186
20220110,2.228,1.962,1.921,1.273
20220111,2.37,2.097,2.126,1.404
20220112,2.255,1.863,1.948,1.235
20220113,2.431,2.021,2.221,1.306
20220114,2.869,2.42,2.659,1.635
20220115,2.827,2.455,2.389,1.614
20220116,2.543,2.289,2.211,1.505
20220117,2.534,2.273,2.248,1.467
20220118,2.571,2.231,2.264,1.487
20220119,2.602,2.167,2.277,1.492
20220120,2.727,2.229,2.382,1.538
20220121,2.8,2.368,2.485,1.588
20220122,2.861,2.472,2.529,1.652
20220123,3.004,2.558,2.666,1.716
20220124,2.901,2.481,2.647,1.641
20220125,2.968,2.422,2.679,1.648
20220126,2.785,2.21,2.521,1.544
20220127,3.031,2.341,2.731,1.655
20220128,2.994,2.401,2.723,1.638
20220129,3.025,2.47,2.739,1.667
20220130,3.043,2.454,2.721,1.642
20220131,2.447,1.435,2.34,1.187
20220201,2.499,2.073,2.197,1.517
20220202,2.791,2.146,2.399,1.624
20220203,3.08,2.364,2.649,1.685
20220204,3.199,2.533,2.802,1.772
20220205,3.276,2.716,2.85,1.862
20220206,3.283,2.764,2.868,1.892
20220207,3.478,2.886,3.044,1.975
20220208,3.423,2.784,3.015,1.973
20220209,3.631,2.803,3.199,2.048
20220210,3.606,2.801,3.197,2.045
20220211,3.637,2.903,3.267,2.07
20220212,3.65,3.012,3.278,2.102
20220213,3.644,3.028,3.274,2.093
20220214,3.708,3.061,3.333,2.098
20220215,3.728,2.996,3.331,2.104
20220216,3.8,2.934,3.392,2.11
20220217,3.945,3.003,3.541,2.152
20220218,3.996,3.143,3.613,2.173
20220219,4.078,3.293,3.679,2.233
20220220,4.174,3.365,3.772,2.264
20220221,4.164,3.359,3.784,2.247
20220222,4.394,3.419,3.974,2.341
20220223,4.453,3.365,4.066,2.366
20220224,4.707,3.492,4.297,2.472
20220225,4.544,3.444,4.199,2.377
20220226,4.628,3.581,4.318,2.421
20220227,4.642,3.613,4.3,2.423
20220228,4.487,3.493,4.198,2.336
20220301,5.247,4.032,4.821,2.835
20220302,6.045,4.442,5.429,3.12
20220303,5.944,4.383,5.364,3.067
20220304,6.116,4.613,5.529,3.188
20220305,6.149,4.792,5.491,3.258
20220306,6.223,4.905,5.541,3.329
20220307,6.742,5.299,5.99,3.603
20220308,6.708,5.245,5.929,3.615
20220309,6.961,5.281,6.112,3.699
20220310,6.86,5.219,6.023,3.647
20220311,6.954,5.389,6.13,3.725
20220312,7.089,5.6,6.21,3.835
20220313,7.18,5.705,6.268,3.909
20220314,7.409,5.867,6.465,4.02
20220315,7.571,5.892,6.56,4.088
20220316,7.459,5.704,6.43,4.006
20220317,7.471,5.692,6.434,3.992
20220318,7.568,5.847,6.542,4.055
20220319,7.706,6.056,6.653,4.159
20220320,7.934,6.218,6.84,4.256
20220321,8.038,6.284,6.947,4.308
20220322,8.279,6.346,7.118,4.395
20220323,8.023,6.055,6.889,4.231
20220324,7.963,5.955,6.808,4.167
20220325,7.823,5.978,6.723,4.115
20220326,8.171,6.318,7.056,4.315
20220327,8.48,6.511,7.296,4.445
20220328,8.523,6.53,7.371,4.466
20220329,8.791,6.595,7.575,4.57
20220330,8.303,6.165,7.144,4.315
20220331,8.533,6.231,7.311,4.384
20220401,8.857,6.689,7.944,4.777
20220402,9.259,7.142,8.22,5.035
20220403,9.59,7.435,8.508,5.248
20220404,10.066,7.74,8.901,5.47
20220405,10.055,7.672,8.869,5.472
20220406,10.353,7.707,9.08,5.566
20220407,10.261,7.632,9.051,5.527
20220408,10.094,7.604,8.888,5.46
20220409,10.388,7.969,9.128,5.685
20220410,10.504,8.121,9.235,5.773
20220411,10.63,8.208,9.311,5.824
20220412,10.459,8.037,9.121,5.765
20220413,10.357,7.859,9.02,5.684
20220414,10.286,7.81,8.981,5.667
20220415,10.311,7.955,9.04,5.715
20220416,10.371,8.166,9.049,5.809
20220417,10.393,8.28,9.004,5.856
20220418,10.767,8.556,9.367,6.046
20220419,11.114,8.689,9.616,6.175
20220420,11.158,8.577,9.628,6.184
20220421,11.275,8.615,9.734,6.23
20220422,11.384,8.803,9.877,6.312
20220423,11.628,9.092,10.097,6.478
20220424,11.738,9.214,10.145,6.535
20220425,11.553,9.093,9.98,6.444
20220426,11.619,9.029,10.006,6.435
20220427,11.231,8.642,9.686,6.225
20220428,11.471,8.73,9.921,6.331
20220429,11.354,8.759,9.847,6.298
20220430,11.195,8.73,9.709,6.205
20220501,11.351,8.545,9.778,6.244
20220502,11.709,8.82,10.108,6.425
20220503,11.45,8.658,9.831,6.34
20220504,11.561,8.596,9.845,6.376
20220505,11.003,8.147,9.405,6.164
20220506,11.599,8.748,9.913,6.472
20220507,11.885,9.153,10.137,6.717
20220508,11.931,9.293,10.119,6.798
20220509,12.074,9.46,10.217,6.903
20220510,12.281,9.622,10.364,7.077
20220511,12.113,9.407,10.094,6.971
20220512,11.726,9.124,9.743,6.768
20220513,11.865,9.304,9.926,6.864
20220514,12.083,9.664,10.16,7.063
20220515,12.127,9.775,10.224,7.14
20220516,12.08,9.762,10.191,7.112
20220517,11.874,9.576,9.975,7.025
20220518,11.799,9.42,9.894,6.976
20220519,11.833,9.388,9.923,6.994
20220520,11.826,9.515,9.967,7.021
20220521,12.038,9.844,10.18,7.203
20220522,12.322,10.15,10.406,7.403
20220523,12.119,10.063,10.207,7.344
20220524,11.97,9.884,10.003,7.271
20220525,11.644,9.57,9.665,7.077
20220526,11.855,9.679,9.877,7.2
20220527,11.949,9.868,9.988,7.281
20220528,11.847,9.959,9.921,7.291
20220529,11.909,10.082,9.966,7.34
20220530,11.414,9.747,9.552,7.085
20220531,11.627,9.841,9.774,7.199
20220601,12.854,10.552,10.569,7.711
20220602,12.727,10.512,10.534,7.66
20220603,12.874,10.744,10.735,7.761
20220604,12.872,10.983,10.749,7.869
20220605,12.953,11.138,10.801,7.952
20220606,12.617,10.837,10.535,7.801
20220607,13.029,11.161,10.862,7.983
20220608,13.132,11.057,10.886,7.99
20220609,13.166,11.08,10.924,8.025
20220610,13.22,11.211,10.951,8.073
20220611,13.044,11.272,10.756,8.029
20220612,13.075,11.376,10.778,8.073
20220613,13.192,11.457,10.865,8.138
20220614,13.028,11.241,10.675,8.054
20220615,13.023,11.071,10.611,8.013
20220616,13.075,11.078,10.662,8.053
20220617,13.009,11.162,10.643,8.058
20220618,12.938,11.301,10.647,8.039
20220619,13.021,11.437,10.735,8.115
20220620,12.987,11.398,10.731,8.074
20220621,13.094,11.403,10.828,8.139
20220622,13.051,11.203,10.791,8.07
20220623,13.117,11.163,10.804,8.063
20220624,13.153,11.298,10.899,8.056
20220625,13.071,11.388,10.901,8.032
20220626,13.233,11.511,11.012,8.072
20220627,13.288,11.495,11.041,8.087
20220628,13.626,11.557,11.285,8.237
20220629,13.205,11.122,10.91,7.969
20220630,13.121,10.954,10.775,7.88
20220701,13.106,11.124,10.889,8.009
20220702,12.832,11.161,10.634,7.992
20220703,12.637,11.145,10.516,7.958
20220704,12.769,11.293,10.629,8.068
20220705,12.715,11.23,10.577,8.073
20220706,12.776,11.13,10.566,8.074
20220707,12.223,10.755,10.117,7.767
20220708,11.974,10.736,9.932,7.685
20220709,12.032,10.956,10.003,7.802
20220710,12.142,11.134,10.129,7.921
20220711,12.169,11.139,10.151,7.899
20220712,11.98,10.921,9.961,7.789
20220713,11.966,10.702,9.892,7.706
20220714,11.798,10.521,9.735,7.598
20220715,11.513,10.406,9.513,7.479
20220716,11.421,10.456,9.458,7.452
20220717,11.427,10.481,9.461,7.471
20220718,11.453,10.47,9.507,7.456
20220719,11.379,10.312,9.412,7.39
20220720,11.164,9.994,9.181,7.223
20220721,11.093,9.866,9.065,7.16
20220722,11.007,9.88,9.015,7.094
20220723,10.983,9.995,9.045,7.103
20220724,11.019,10.014,9.065,7.099
20220725,10.906,9.941,9.014,7.041
20220726,10.901,9.806,8.984,7.01
20220727,10.527,9.42,8.639,6.8
20220728,10.368,9.204,8.454,6.683
20220729,10.184,9.143,8.317,6.579
20220730,10.239,9.263,8.423,6.612
20220731,10.321,9.331,8.506,6.648
20220801,9.761,8.741,7.873,6.333
20220802,9.697,8.656,7.824,6.336
20220803,9.958,8.682,7.978,6.422
20220804,9.759,8.51,7.784,6.304
20220805,9.974,8.76,7.99,6.425
20220806,10.11,9.019,8.104,6.536
20220807,10.399,9.304,8.377,6.727
20220808,10.661,9.521,8.651,6.874
20220809,10.661,9.497,8.687,6.909
20220810,10.831,9.449,8.827,6.95
20220811,10.81,9.411,8.878,6.909
20220812,10.889,9.545,9.011,6.974
20220813,10.793,9.615,8.955,6.964
20220814,10.896,9.775,9.091,7.044
20220815,10.626,9.341,8.954,6.891
20220816,11.111,9.855,9.291,7.156
20220817,10.836,9.501,9.047,6.96
20220818,10.97,9.496,9.152,6.989
20220819,10.837,9.439,9.048,6.882
20220820,10.752,9.446,8.989,6.802
20220821,10.736,9.498,8.937,6.817
20220822,10.769,9.543,8.967,6.824
20220823,11.052,9.621,9.208,6.921
20220824,11.166,9.527,9.313,6.92
20220825,11.436,9.592,9.544,7.013
20220826,11.502,9.745,9.646,7.049
20220827,11.566,9.879,9.745,7.087
20220828,11.667,9.997,9.82,7.137
20220829,11.721,10.096,9.908,7.212
20220830,12.326,10.423,10.409,7.499
20220831,12.262,10.203,10.394,7.424
20220901,11.829,9.738,10.117,6.931
