일시,광진구,동대문구,성동구,중랑구
20220101,1.99,1.464,1.513,1.165
20220102,2.404,1.745,1.817,1.34
20220103,2.393,2.082,2.088,1.353
20220104,2.366,1.959,2.128,1.315
20220105,2.47,1.936,1.901,1.283
20220106,2.239,1.818,1.754,1.05
20220107,1.036,0.994,0.921,0.734
20220108,1.438,1.369,0.992,0.977
20220109,1.347,1.306,1.079,0.914
20220110,1.866,1.594,1.439,1.023
20220111,1.999,1.773,1.741,1.153
20220112,2.268,2.012,2.061,1.333
20220113,2.415,2.17,2.227,1.436
20220114,2.409,2.254,2.232,1.447
20220115,2.452,2.314,2.302,1.494
20220116,2.437,2.327,2.278,1.496
20220117,2.403,2.306,2.181,1.439
20220118,2.391,2.321,2.203,1.432
20220119,2.496,2.383,2.313,1.501
20220120,2.641,2.463,2.429,1.561
20220121,2.799,2.573,2.567,1.626
20220122,2.884,2.615,2.679,1.654
20220123,2.934,2.629,2.756,1.678
20220124,2.926,2.617,2.781,1.677
20220125,2.943,2.622,2.865,1.695
20220126,3.033,2.646,2.943,1.744
20220127,3.111,2.712,3.019,1.797
20220128,3.257,2.77,3.106,1.892
20220129,3.339,2.648,3.102,1.908
20220130,3.012,2.393,2.766,1.777
20220131,2.807,2.206,2.533,1.673
20220201,2.804,2.191,2.533,1.666
20220202,2.738,2.154,2.528,1.632
20220203,2.76,2.275,2.5,1.616
20220204,3.065,2.499,2.725,1.745
20220205,3.348,2.713,2.989,1.888
20220206,3.496,2.746,3.058,1.941
20220207,3.715,2.874,3.158,2.01
20220208,3.922,3.012,3.344,2.147
20220209,4.111,3.095,3.507,2.225
20220210,4.118,3.057,3.505,2.212
20220211,4.04,3.015,3.47,2.181
20220212,3.996,2.977,3.43,2.17
20220213,3.982,2.951,3.43,2.139
20220214,4.069,3.027,3.524,2.166
20220215,4.226,3.135,3.623,2.233
20220216,4.421,3.271,3.757,2.324
20220217,4.568,3.372,3.893,2.376
20220218,4.642,3.476,3.981,2.432
20220219,4.642,3.537,3.995,2.438
