일시,광진구,동대문구,성동구,중랑구
20220101,2.061,1.635,1.801,1.129
20220102,2.365,1.832,2.103,1.379
20220103,2.069,1.963,1.977,1.18
20220104,2.525,1.991,2.417,1.31
20220105,2.684,2.138,2.413,1.315
20220106,2.463,2.104,2.281,1.258
20220107,1.578,1.323,1.661,0.873
20220108,1.845,1.47,1.556,1.004
20220109,1.742,1.372,1.437,0.954
20220110,1.918,1.681,1.685,1.002
20220111,2.235,1.95,2.06,1.25
20220112,2.021,1.772,1.821,1.049
20220113,2.308,2.008,2.202,1.191
20220114,2.809,2.389,2.687,1.564
20220115,2.771,2.351,2.427,1.495
20220116,2.445,2.164,2.232,1.371
20220117,2.458,2.164,2.233,1.372
20220118,2.559,2.249,2.323,1.44
20220119,2.662,2.323,2.409,1.512
20220120,2.758,2.382,2.495,1.563
20220121,2.873,2.472,2.623,1.633
20220122,2.923,2.504,2.683,1.66
20220123,3.067,2.601,2.839,1.736
20220124,3.131,2.635,2.9,1.768
20220125,3.166,2.647,2.925,1.786
20220126,3.173,2.628,2.921,1.79
20220127,3.293,2.709,3.042,1.866
20220128,3.344,2.743,3.093,1.892
20220129,3.337,2.736,3.068,1.878
20220130,3.3,2.713,3.02,1.851
20220131,3.219,2.633,2.935,1.791
20220201,3.316,2.695,3.007,1.833
20220202,3.36,2.703,3.014,1.849
20220203,3.448,2.756,3.089,1.905
20220204,3.527,2.808,3.16,1.947
20220205,3.615,2.884,3.233,1.988
20220206,3.684,2.939,3.279,2.016
20220207,3.728,2.956,3.324,2.038
20220208,3.813,2.992,3.418,2.093
20220209,3.94,3.062,3.555,2.168
20220210,4.075,3.152,3.656,2.252
20220211,4.105,3.175,3.679,2.261
20220212,4.083,3.171,3.653,2.236
20220213,4.094,3.192,3.65,2.219
20220214,4.144,3.227,3.687,2.229
20220215,4.214,3.269,3.735,2.265
20220216,4.338,3.341,3.844,2.326
20220217,4.555,3.464,4.044,2.416
20220218,4.676,3.578,4.135,2.462
20220219,4.718,3.632,4.136,2.476
20220220,4.826,3.725,4.246,2.514
20220221,4.971,3.842,4.376,2.586
20220222,5.212,4.003,4.595,2.705
20220223,5.502,4.191,4.881,2.866
20220224,5.751,4.342,5.114,2.99
20220225,5.702,4.288,5.077,2.946
20220226,5.744,4.342,5.113,2.953
20220227,5.741,4.401,5.087,2.966
20220228,5.901,4.517,5.23,3.045
20220301,6.134,4.677,5.425,3.152
20220302,6.224,4.744,5.493,3.215
20220303,6.408,4.835,5.646,3.304
20220304,6.525,4.943,5.734,3.37
20220305,6.573,5.016,5.741,3.39
20220306,6.676,5.13,5.814,3.45
20220307,7.001,5.403,6.095,3.637
20220308,7.116,5.501,6.171,3.709
20220309,7.279,5.584,6.307,3.788
20220310,7.306,5.598,6.31,3.815
20220311,7.354,5.659,6.35,3.855
20220312,7.457,5.75,6.413,3.912
20220313,7.502,5.831,6.442,3.962
20220314,7.607,5.923,6.521,4.022
20220315,7.818,6.053,6.675,4.119
20220316,7.671,5.941,6.528,4.055
20220317,7.683,5.94,6.535,4.068
20220318,7.773,6.008,6.616,4.123
20220319,7.836,6.088,6.658,4.172
20220320,8.003,6.228,6.819,4.252
20220321,8.125,6.321,6.929,4.326
20220322,8.338,6.455,7.105,4.426
20220323,8.196,6.32,6.972,4.343
20220324,8.02,6.168,6.811,4.258
20220325,7.916,6.135,6.742,4.232
20220326,8.235,6.392,7.026,4.417
20220327,8.498,6.587,7.26,4.558
20220328,8.751,6.767,7.494,4.698
20220329,8.931,6.885,7.657,4.809
20220330,8.704,6.699,7.424,4.704
20220331,8.782,6.71,7.491,4.746
20220401,8.985,6.86,7.718,4.867
20220402,9.505,7.257,8.156,5.13
20220403,10.015,7.617,8.59,5.394
20220404,10.362,7.826,8.877,5.563
20220405,10.563,7.941,9.047,5.654
20220406,10.74,8.0,9.186,5.728
20220407,10.852,8.015,9.317,5.786
20220408,10.636,7.85,9.068,5.666
20220409,10.954,8.122,9.372,5.874
20220410,11.119,8.287,9.524,5.966
20220411,11.16,8.327,9.52,5.987
20220412,11.011,8.249,9.375,5.951
20220413,10.81,8.118,9.211,5.858
20220414,10.767,8.08,9.198,5.866
20220415,10.788,8.138,9.229,5.898
20220416,10.747,8.202,9.167,5.928
20220417,10.716,8.297,9.084,5.954
20220418,11.179,8.666,9.529,6.207
20220419,11.515,8.895,9.807,6.354
20220420,11.621,8.927,9.878,6.427
20220421,11.657,8.93,9.937,6.454
20220422,11.825,9.077,10.116,6.565
20220423,11.964,9.238,10.252,6.684
20220424,11.996,9.344,10.259,6.727
20220425,11.955,9.363,10.206,6.732
20220426,11.854,9.323,10.142,6.691
20220427,11.608,9.129,9.936,6.58
20220428,11.674,9.148,10.067,6.638
20220429,11.64,9.158,10.046,6.66
20220430,11.275,8.951,9.704,6.48
20220501,11.289,9.01,9.764,6.527
20220502,11.428,9.114,9.918,6.598
20220503,11.41,9.133,9.857,6.6
20220504,11.346,9.059,9.758,6.598
20220505,11.49,9.089,9.872,6.675
20220506,11.597,9.194,9.951,6.766
20220507,12.01,9.531,10.303,6.997
20220508,12.145,9.693,10.347,7.089
20220509,12.17,9.774,10.332,7.135
20220510,12.585,10.123,10.675,7.403
20220511,12.317,9.94,10.326,7.281
20220512,11.98,9.658,9.997,7.093
20220513,12.102,9.713,10.148,7.154
20220514,12.374,9.976,10.435,7.313
20220515,12.439,10.078,10.532,7.38
20220516,12.374,10.042,10.467,7.331
20220517,12.164,9.912,10.272,7.238
20220518,12.142,9.877,10.247,7.237
20220519,12.163,9.825,10.266,7.252
20220520,12.153,9.847,10.291,7.257
20220521,12.374,10.066,10.488,7.39
20220522,12.679,10.394,10.748,7.601
20220523,12.584,10.388,10.609,7.593
20220524,12.336,10.227,10.343,7.488
20220525,12.173,10.103,10.121,7.383
20220526,12.285,10.172,10.269,7.476
20220527,12.462,10.322,10.428,7.591
20220528,12.287,10.271,10.238,7.526
20220529,12.295,10.392,10.26,7.565
20220530,12.026,10.224,9.995,7.41
20220531,12.12,10.364,10.16,7.507
20220601,12.201,10.373,10.238,7.57
20220602,12.413,10.533,10.454,7.693
20220603,12.606,10.717,10.643,7.789
20220604,12.778,10.966,10.82,7.943
20220605,12.953,11.178,10.933,8.053
20220606,12.898,11.175,10.868,8.004
20220607,13.0,11.289,10.996,8.069
20220608,13.023,11.246,10.958,8.076
20220609,13.285,11.411,11.157,8.238
20220610,13.404,11.497,11.174,8.297
20220611,13.311,11.51,11.029,8.254
20220612,13.356,11.63,11.062,8.299
20220613,13.341,11.658,11.051,8.314
20220614,13.242,11.562,10.929,8.264
20220615,13.252,11.496,10.872,8.255
20220616,13.363,11.543,10.967,8.347
20220617,13.35,11.57,10.949,8.366
20220618,13.3,11.633,10.956,8.326
20220619,13.315,11.743,11.01,8.381
20220620,13.227,11.698,10.982,8.321
20220621,13.294,11.776,11.083,8.39
20220622,13.359,11.718,11.132,8.385
20220623,13.305,11.606,11.048,8.338
20220624,13.418,11.689,11.177,8.353
20220625,13.271,11.65,11.086,8.281
20220626,13.289,11.7,11.102,8.267
20220627,13.425,11.764,11.205,8.331
20220628,13.621,11.834,11.363,8.448
20220629,13.351,11.559,11.085,8.252
20220630,12.958,11.211,10.703,8.04
20220701,12.889,11.168,10.64,8.003
20220702,12.673,11.119,10.455,7.964
20220703,12.592,11.15,10.414,7.957
20220704,12.383,11.071,10.258,7.92
20220705,12.559,11.215,10.421,8.027
20220706,12.474,11.147,10.334,8.025
20220707,12.097,10.862,10.01,7.801
20220708,11.79,10.722,9.729,7.677
20220709,11.962,10.915,9.899,7.81
20220710,12.23,11.196,10.149,8.001
20220711,12.085,11.089,10.037,7.899
20220712,12.021,11.028,9.976,7.852
20220713,12.028,10.933,9.958,7.83
20220714,12.011,10.845,9.919,7.804
20220715,11.741,10.648,9.67,7.682
20220716,11.72,10.652,9.656,7.652
20220717,11.836,10.757,9.751,7.727
20220718,11.862,10.756,9.813,7.716
20220719,11.837,10.725,9.793,7.689
20220720,11.759,10.601,9.699,7.626
20220721,11.726,10.509,9.618,7.595
20220722,11.742,10.494,9.622,7.563
20220723,11.757,10.559,9.647,7.563
20220724,11.852,10.633,9.728,7.594
20220725,11.854,10.652,9.787,7.594
20220726,11.785,10.58,9.744,7.56
20220727,11.651,10.442,9.608,7.494
20220728,11.363,10.162,9.331,7.326
20220729,11.298,10.073,9.262,7.269
20220730,11.358,10.122,9.304,7.283
20220731,11.451,10.233,9.418,7.347
20220801,11.452,10.223,9.437,7.358
20220802,11.439,10.187,9.439,7.349
20220803,11.36,10.09,9.335,7.313
20220804,11.262,9.925,9.178,7.239
20220805,11.308,9.958,9.194,7.241
20220806,11.394,10.054,9.283,7.278
20220807,11.657,10.285,9.524,7.42
20220808,11.596,10.274,9.525,7.402
20220809,11.576,10.293,9.56,7.417
20220810,11.57,10.227,9.572,7.413
20220811,11.586,10.197,9.64,7.401
20220812,11.557,10.162,9.646,7.396
20220813,11.366,10.065,9.504,7.314
20220814,11.399,10.176,9.588,7.348
20220815,11.39,10.189,9.604,7.352
20220816,11.393,10.191,9.608,7.364
20220817,11.049,9.884,9.309,7.169
20220818,11.166,9.869,9.392,7.216
20220819,10.985,9.679,9.208,7.072
20220820,10.822,9.541,9.053,6.936
20220821,10.723,9.553,8.935,6.922
20220822,10.8,9.642,8.986,6.953
20220823,11.004,9.767,9.188,7.04
20220824,11.342,9.902,9.477,7.179
20220825,11.556,9.952,9.672,7.282
20220826,11.732,10.093,9.841,7.381
20220827,11.777,10.147,9.877,7.419
20220828,11.835,10.273,9.939,7.48
20220829,12.159,10.583,10.238,7.702
20220830,12.696,10.997,10.712,8.014
20220831,13.023,11.106,11.008,8.155
20220901,13.163,11.146,11.159,8.238
20220902,13.19,11.152,11.175,8.259
20220903,12.658,10.813,10.724,8.001
20220904,12.566,10.881,10.668,7.986
20220905,12.597,10.939,10.713,8.024
20220906,13.099,11.343,11.158,8.305
20220907,13.297,11.418,11.318,8.392
20220908,10.7,9.111,9.097,6.721
20220909,10.574,9.078,8.975,6.684
20220910,10.59,9.155,8.961,6.709
20220911,10.664,9.28,9.005,6.77
20220912,11.002,9.54,9.291,6.934
20220913,11.464,9.894,9.672,7.19
20220914,11.527,9.858,9.702,7.218
