일시,광진구,동대문구,성동구,중랑구,일,월,년,요일,주,주말평일
2018-01-01,0.592,0.368,0.58,0.162,1,1,2018,0,1,주말
2018-01-02,0.84,0.614,1.034,0.26,2,1,2018,1,1,평일
2018-01-03,0.828,0.576,0.952,0.288,3,1,2018,2,1,평일
2018-01-04,0.792,0.542,0.914,0.292,4,1,2018,3,1,평일
2018-01-05,0.818,0.602,0.994,0.308,5,1,2018,4,1,평일
2018-01-06,0.618,0.522,0.696,0.228,6,1,2018,5,1,주말
2018-01-07,0.598,0.478,0.606,0.238,7,1,2018,6,1,주말
2018-01-08,0.742,0.528,0.848,0.202,8,1,2018,0,2,평일
2018-01-09,0.652,0.488,0.838,0.206,9,1,2018,1,2,평일
2018-01-10,0.5,0.406,0.636,0.16,10,1,2018,2,2,평일
2018-01-11,0.52,0.346,0.596,0.138,11,1,2018,3,2,평일
2018-01-12,0.514,0.318,0.596,0.136,12,1,2018,4,2,평일
2018-01-13,0.492,0.296,0.454,0.188,13,1,2018,5,2,주말
2018-01-14,0.496,0.414,0.554,0.17,14,1,2018,6,2,주말
2018-01-15,0.722,0.52,0.918,0.26,15,1,2018,0,3,평일
2018-01-16,0.844,0.63,1.012,0.258,16,1,2018,1,3,평일
2018-01-17,0.82,0.59,0.9,0.24,17,1,2018,2,3,평일
2018-01-18,0.788,0.638,1.01,0.228,18,1,2018,3,3,평일
2018-01-19,0.984,0.634,1.126,0.294,19,1,2018,4,3,평일
2018-01-20,0.77,0.486,0.804,0.276,20,1,2018,5,3,주말
2018-01-21,0.664,0.448,0.648,0.268,21,1,2018,6,3,주말
2018-01-22,0.624,0.396,0.692,0.162,22,1,2018,0,4,평일
2018-01-23,0.432,0.386,0.636,0.11,23,1,2018,1,4,평일
2018-01-24,0.396,0.302,0.498,0.088,24,1,2018,2,4,평일
2018-01-25,0.444,0.306,0.492,0.098,25,1,2018,3,4,평일
2018-01-26,0.36,0.29,0.526,0.088,26,1,2018,4,4,평일
2018-01-27,0.358,0.278,0.352,0.116,27,1,2018,5,4,주말
2018-01-28,0.316,0.294,0.334,0.128,28,1,2018,6,4,주말
2018-01-29,0.574,0.366,0.62,0.132,29,1,2018,0,5,평일
2018-01-30,0.444,0.288,0.512,0.098,30,1,2018,1,5,평일
2018-01-31,0.474,0.338,0.598,0.1,31,1,2018,2,5,평일
2018-02-01,0.726,0.43,0.816,0.202,1,2,2018,3,5,평일
2018-02-02,0.732,0.47,0.886,0.224,2,2,2018,4,5,평일
