일시,광진구,동대문구,성동구,중랑구,일,월,년,요일,주,주말평일
2022-01-01,0,0,0,0,1,1,2022,5,1,주말
2022-01-02,0,0,0,0,2,1,2022,6,1,주말
2022-01-03,0,0,0,0,3,1,2022,0,1,평일
2022-01-04,0,0,0,0,4,1,2022,1,1,평일
2022-01-05,0,0,0,0,5,1,2022,2,1,평일
2022-01-06,0,0,0,0,6,1,2022,3,1,평일
2022-01-07,0,0,0,0,7,1,2022,4,1,평일
2022-01-08,0,0,0,0,8,1,2022,5,1,주말
2022-01-09,0,0,0,0,9,1,2022,6,1,주말
2022-01-10,0,0,0,0,10,1,2022,0,2,평일
2022-01-11,0,0,0,0,11,1,2022,1,2,평일
2022-01-12,0,0,0,0,12,1,2022,2,2,평일
2022-01-13,0,0,0,0,13,1,2022,3,2,평일
2022-01-14,0,0,0,0,14,1,2022,4,2,평일
2022-01-15,0,0,0,0,15,1,2022,5,2,주말
2022-01-16,0,0,0,0,16,1,2022,6,2,주말
2022-01-17,0,0,0,0,17,1,2022,0,3,평일
2022-01-18,0,0,0,0,18,1,2022,1,3,평일
2022-01-19,0,0,0,0,19,1,2022,2,3,평일
2022-01-20,0,0,0,0,20,1,2022,3,3,평일
2022-01-21,0,0,0,0,21,1,2022,4,3,평일
2022-01-22,0,0,0,0,22,1,2022,5,3,주말
2022-01-23,0,0,0,0,23,1,2022,6,3,주말
2022-01-24,0,0,0,0,24,1,2022,0,4,평일
2022-01-25,0,0,0,0,25,1,2022,1,4,평일
2022-01-26,0,0,0,0,26,1,2022,2,4,평일
2022-01-27,0,0,0,0,27,1,2022,3,4,평일
2022-01-28,0,0,0,0,28,1,2022,4,4,평일
2022-01-29,0,0,0,0,29,1,2022,5,4,주말
2022-01-30,0,0,0,0,30,1,2022,6,4,주말
2022-01-31,0,0,0,0,31,1,2022,0,5,주말
2022-02-01,0,0,0,0,1,2,2022,1,5,주말
2022-02-02,0,0,0,0,2,2,2022,2,5,주말
2022-02-03,0,0,0,0,3,2,2022,3,5,평일
2022-02-04,0,0,0,0,4,2,2022,4,5,평일
2022-02-05,0,0,0,0,5,2,2022,5,5,주말
2022-02-06,0,0,0,0,6,2,2022,6,5,주말
2022-02-07,0,0,0,0,7,2,2022,0,6,평일
2022-02-08,0,0,0,0,8,2,2022,1,6,평일
2022-02-09,0,0,0,0,9,2,2022,2,6,평일
2022-02-10,0,0,0,0,10,2,2022,3,6,평일
2022-02-11,0,0,0,0,11,2,2022,4,6,평일
2022-02-12,0,0,0,0,12,2,2022,5,6,주말
2022-02-13,0,0,0,0,13,2,2022,6,6,주말
2022-02-14,0,0,0,0,14,2,2022,0,7,평일
2022-02-15,0,0,0,0,15,2,2022,1,7,평일
2022-02-16,0,0,0,0,16,2,2022,2,7,평일
2022-02-17,0,0,0,0,17,2,2022,3,7,평일
2022-02-18,0,0,0,0,18,2,2022,4,7,평일
2022-02-19,0,0,0,0,19,2,2022,5,7,주말
2022-02-20,0,0,0,0,20,2,2022,6,7,주말
2022-02-21,0,0,0,0,21,2,2022,0,8,평일
2022-02-22,0,0,0,0,22,2,2022,1,8,평일
2022-02-23,0,0,0,0,23,2,2022,2,8,평일
2022-02-24,0,0,0,0,24,2,2022,3,8,평일
2022-02-25,0,0,0,0,25,2,2022,4,8,평일
2022-02-26,0,0,0,0,26,2,2022,5,8,주말
2022-02-27,0,0,0,0,27,2,2022,6,8,주말
2022-02-28,0,0,0,0,28,2,2022,0,9,평일
2022-03-01,0,0,0,0,1,3,2022,1,9,주말
2022-03-02,0,0,0,0,2,3,2022,2,9,평일
2022-03-03,0,0,0,0,3,3,2022,3,9,평일
2022-03-04,0,0,0,0,4,3,2022,4,9,평일
2022-03-05,0,0,0,0,5,3,2022,5,9,주말
2022-03-06,0,0,0,0,6,3,2022,6,9,주말
2022-03-07,0,0,0,0,7,3,2022,0,10,평일
2022-03-08,0,0,0,0,8,3,2022,1,10,평일
2022-03-09,0,0,0,0,9,3,2022,2,10,평일
2022-03-10,0,0,0,0,10,3,2022,3,10,평일
2022-03-11,0,0,0,0,11,3,2022,4,10,평일
2022-03-12,0,0,0,0,12,3,2022,5,10,주말
2022-03-13,0,0,0,0,13,3,2022,6,10,주말
2022-03-14,0,0,0,0,14,3,2022,0,11,평일
2022-03-15,0,0,0,0,15,3,2022,1,11,평일
2022-03-16,0,0,0,0,16,3,2022,2,11,평일
2022-03-17,0,0,0,0,17,3,2022,3,11,평일
2022-03-18,0,0,0,0,18,3,2022,4,11,평일
2022-03-19,0,0,0,0,19,3,2022,5,11,주말
2022-03-20,0,0,0,0,20,3,2022,6,11,주말
2022-03-21,0,0,0,0,21,3,2022,0,12,평일
2022-03-22,0,0,0,0,22,3,2022,1,12,평일
2022-03-23,0,0,0,0,23,3,2022,2,12,평일
2022-03-24,0,0,0,0,24,3,2022,3,12,평일
2022-03-25,0,0,0,0,25,3,2022,4,12,평일
2022-03-26,0,0,0,0,26,3,2022,5,12,주말
2022-03-27,0,0,0,0,27,3,2022,6,12,주말
2022-03-28,0,0,0,0,28,3,2022,0,13,평일
2022-03-29,0,0,0,0,29,3,2022,1,13,평일
2022-03-30,0,0,0,0,30,3,2022,2,13,평일
2022-03-31,0,0,0,0,31,3,2022,3,13,평일
2022-04-01,0,0,0,0,1,4,2022,4,13,평일
2022-04-02,0,0,0,0,2,4,2022,5,13,주말
2022-04-03,0,0,0,0,3,4,2022,6,13,주말
2022-04-04,0,0,0,0,4,4,2022,0,14,평일
2022-04-05,0,0,0,0,5,4,2022,1,14,평일
2022-04-06,0,0,0,0,6,4,2022,2,14,평일
2022-04-07,0,0,0,0,7,4,2022,3,14,평일
2022-04-08,0,0,0,0,8,4,2022,4,14,평일
2022-04-09,0,0,0,0,9,4,2022,5,14,주말
2022-04-10,0,0,0,0,10,4,2022,6,14,주말
2022-04-11,0,0,0,0,11,4,2022,0,15,평일
2022-04-12,0,0,0,0,12,4,2022,1,15,평일
2022-04-13,0,0,0,0,13,4,2022,2,15,평일
2022-04-14,0,0,0,0,14,4,2022,3,15,평일
2022-04-15,0,0,0,0,15,4,2022,4,15,평일
2022-04-16,0,0,0,0,16,4,2022,5,15,주말
2022-04-17,0,0,0,0,17,4,2022,6,15,주말
2022-04-18,0,0,0,0,18,4,2022,0,16,평일
2022-04-19,0,0,0,0,19,4,2022,1,16,평일
2022-04-20,0,0,0,0,20,4,2022,2,16,평일
2022-04-21,0,0,0,0,21,4,2022,3,16,평일
2022-04-22,0,0,0,0,22,4,2022,4,16,평일
2022-04-23,0,0,0,0,23,4,2022,5,16,주말
2022-04-24,0,0,0,0,24,4,2022,6,16,주말
2022-04-25,0,0,0,0,25,4,2022,0,17,평일
2022-04-26,0,0,0,0,26,4,2022,1,17,평일
2022-04-27,0,0,0,0,27,4,2022,2,17,평일
2022-04-28,0,0,0,0,28,4,2022,3,17,평일
2022-04-29,0,0,0,0,29,4,2022,4,17,평일
2022-04-30,0,0,0,0,30,4,2022,5,17,주말
2022-05-01,0,0,0,0,1,5,2022,6,17,주말
2022-05-02,0,0,0,0,2,5,2022,0,18,평일
2022-05-03,0,0,0,0,3,5,2022,1,18,평일
2022-05-04,0,0,0,0,4,5,2022,2,18,평일
2022-05-05,0,0,0,0,5,5,2022,3,18,주말
2022-05-06,0,0,0,0,6,5,2022,4,18,평일
2022-05-07,0,0,0,0,7,5,2022,5,18,주말
2022-05-08,0,0,0,0,8,5,2022,6,18,주말
2022-05-09,0,0,0,0,9,5,2022,0,19,평일
2022-05-10,0,0,0,0,10,5,2022,1,19,평일
2022-05-11,0,0,0,0,11,5,2022,2,19,평일
2022-05-12,0,0,0,0,12,5,2022,3,19,평일
2022-05-13,0,0,0,0,13,5,2022,4,19,평일
2022-05-14,0,0,0,0,14,5,2022,5,19,주말
2022-05-15,0,0,0,0,15,5,2022,6,19,주말
2022-05-16,0,0,0,0,16,5,2022,0,20,평일
2022-05-17,0,0,0,0,17,5,2022,1,20,평일
2022-05-18,0,0,0,0,18,5,2022,2,20,평일
2022-05-19,0,0,0,0,19,5,2022,3,20,평일
2022-05-20,0,0,0,0,20,5,2022,4,20,평일
2022-05-21,0,0,0,0,21,5,2022,5,20,주말
